Start-time(sec): 1679868017
stress: info: [311671] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd

stress: info: [311674] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd

stress: info: [311675] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd

stress: info: [311678] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd

stress: info: [311680] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd

stress: info: [311682] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd

stress: info: [311684] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd

stress: info: [311685] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd

stress: info: [311688] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd

stress: info: [311690] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd

stress: info: [311692] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd

stress: info: [311694] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd

stress: info: [311696] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd

stress: info: [311698] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd

stress: info: [311700] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd

stress: info: [311702] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd

stress: info: [311704] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd

stress: info: [311706] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd

stress: info: [311708] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd

stress: info: [311710] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd

stress: info: [311712] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd

stress: info: [311714] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd

stress: info: [311715] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd

stress: info: [311718] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd

stress: info: [311720] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd

stress: info: [311721] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd

stress: info: [313086] successful run completed in 120s

stress: info: [313089] successful run completed in 120s

stress: info: [313101] successful run completed in 120s

stress: info: [313106] successful run completed in 120s

stress: info: [313105] successful run completed in 120s

stress: info: [313087] successful run completed in 120s

stress: info: [313082] successful run completed in 120s

stress: info: [313083] successful run completed in 120s

stress: info: [313091] successful run completed in 120s

stress: info: [313094] successful run completed in 120s

stress: info: [313085] successful run completed in 120s

stress: info: [313109] successful run completed in 120s

stress: info: [313078] successful run completed in 120s

stress: info: [313104] successful run completed in 120s

stress: info: [313107] successful run completed in 120s

stress: info: [313108] successful run completed in 120s

stress: info: [313095] successful run completed in 120s

stress: info: [313090] successful run completed in 120s

stress: info: [313081] successful run completed in 120s

stress: info: [313084] successful run completed in 120s

stress: info: [313080] successful run completed in 120s

stress: info: [313097] successful run completed in 120s

stress: info: [313092] successful run completed in 120s

stress: info: [313098] successful run completed in 120s

stress: info: [313118] successful run completed in 120s

stress: info: [313123] successful run completed in 120s

stress: info: [313103] successful run completed in 120s

stress: info: [313122] successful run completed in 120s

stress: info: [313088] successful run completed in 120s

stress: info: [313077] successful run completed in 120s

stress: info: [313102] successful run completed in 120s

stress: info: [313124] successful run completed in 120s

stress: info: [313096] successful run completed in 120s

stress: info: [313100] successful run completed in 120s

stress: info: [313111] successful run completed in 120s

stress: info: [313112] successful run completed in 120s

stress: info: [313099] successful run completed in 120s

stress: info: [313125] successful run completed in 120s

stress: info: [313115] successful run completed in 120s

stress: info: [313117] successful run completed in 120s

stress: info: [313116] successful run completed in 120s

stress: info: [313120] successful run completed in 120s

stress: info: [313121] successful run completed in 120s

stress: info: [313079] successful run completed in 120s

stress: info: [313119] successful run completed in 120s

stress: info: [313093] successful run completed in 120s

stress: info: [313114] successful run completed in 120s

stress: info: [313113] successful run completed in 120s

stress: info: [313110] successful run completed in 120s

stress: info: [313223] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd

stress: info: [311624] successful run completed in 120s

stress: info: [311625] successful run completed in 120s

stress: info: [311628] successful run completed in 120s

stress: info: [311630] successful run completed in 120s

stress: info: [311633] successful run completed in 120s

stress: info: [311632] successful run completed in 120s

stress: info: [311636] successful run completed in 120s

stress: info: [311638] successful run completed in 120s

stress: info: [311640] successful run completed in 120s

stress: info: [311642] successful run completed in 120s

stress: info: [311644] successful run completed in 120s

stress: info: [311646] successful run completed in 120s

stress: info: [311648] successful run completed in 120s

stress: info: [311650] successful run completed in 120s

stress: info: [311652] successful run completed in 120s

stress: info: [311654] successful run completed in 120s

stress: info: [311656] successful run completed in 120s

stress: info: [311658] successful run completed in 120s

stress: info: [311660] successful run completed in 120s

stress: info: [311662] successful run completed in 120s

stress: info: [311664] successful run completed in 120s

stress: info: [311666] successful run completed in 120s

stress: info: [311668] successful run completed in 120s

stress: info: [311670] successful run completed in 120s

stress: info: [311671] successful run completed in 120s

stress: info: [311674] successful run completed in 120s

stress: info: [311675] successful run completed in 120s

stress: info: [311678] successful run completed in 120s

stress: info: [311680] successful run completed in 120s

stress: info: [311682] successful run completed in 120s

stress: info: [311684] successful run completed in 120s

stress: info: [311685] successful run completed in 120s

stress: info: [311688] successful run completed in 120s

stress: info: [311690] successful run completed in 120s

stress: info: [311692] successful run completed in 120s

stress: info: [311694] successful run completed in 120s

stress: info: [311696] successful run completed in 120s

stress: info: [311698] successful run completed in 120s

stress: info: [311700] successful run completed in 120s

stress: info: [311702] successful run completed in 120s

stress: info: [311704] successful run completed in 120s

stress: info: [311706] successful run completed in 120s

stress: info: [311708] successful run completed in 120s

stress: info: [311710] successful run completed in 120s

stress: info: [311712] successful run completed in 120s

stress: info: [311714] successful run completed in 120s

stress: info: [311715] successful run completed in 120s

stress: info: [311718] successful run completed in 120s

stress: info: [311720] successful run completed in 120s

stress: info: [311721] successful run completed in 120s

